id,marca,modelo,ano,quilometragem,ultimo_reparo,qntd_reparos,cambio
1,Peugeot,5008,2012,184586,2024-08-26,7,Automático
2,Peugeot,Expert,2023,203974,2024-09-03,14,Manual
3,Mercedes-Benz,E-Class,2012,212329,2024-08-11,8,Automático
4,Ford,EcoSport,2007,58710,2024-07-23,4,Manual
5,Jeep,Wrangler,2011,119002,2024-08-01,4,Automático
6,Nissan,Titan,2012,41076,2024-04-13,1,Automático
7,BMW,X1,2009,161370,2024-09-04,15,Manual
8,Mitsubishi,ASX,2008,129791,2024-08-31,11,Manual
9,BMW,Z4,2021,215201,2024-07-31,7,Automático
10,Mitsubishi,Galant,2013,95517,2024-08-31,6,Manual
11,Mercedes-Benz,GLC,2023,233414,2024-08-25,20,Manual
12,Toyota,Etios,2017,235405,2024-08-28,19,Manual
13,Jeep,Liberty,2014,166175,2024-08-10,6,Automático
14,Fiat,Tipo,2019,151605,2024-09-07,6,Automático
15,Jeep,Cherokee Trailhawk,2023,44922,2024-03-11,1,Automático
16,Renault,Zoe,2007,291313,2024-09-05,10,Automático
17,Peugeot,208,2021,21532,2024-06-07,1,Automático
18,Ford,Kuga,2012,94162,2024-08-15,3,Automático
19,Peugeot,Partner,2019,135201,2024-09-03,9,Manual
20,Jeep,Renegade,2013,245820,2024-08-21,9,Automático
21,Fiat,Toro,2020,66192,2024-08-15,5,Manual
22,Toyota,Vios,2012,136850,2024-09-05,5,Automático
23,Chevrolet,Prisma,2020,294649,2024-08-24,21,Manual
24,Mercedes-Benz,GLE,2013,160451,2024-09-05,5,Automático
25,Hyundai,HB20,2022,85358,2024-08-12,5,Manual
26,Honda,Odyssey,2009,81363,2024-08-04,2,Automático
27,Fiat,Mobi,2021,264452,2024-08-26,9,Automático
28,Ford,F-150,2017,103428,2024-07-31,3,Automático
29,Volkswagen,Jetta,2009,209798,2024-08-17,14,Manual
30,Hyundai,i30,2021,51683,2024-06-26,2,Automático
31,Subaru,WRX,2018,225666,2024-09-01,15,Manual
32,Mitsubishi,L200,2016,264054,2024-08-29,26,Manual
33,Chevrolet,Cruz,2013,123205,2024-07-31,4,Automático
34,Hyundai,Tucson,2016,173698,2024-08-30,13,Manual
35,Mercedes-Benz,A-Class,2017,23940,2024-08-04,1,Automático
36,Volkswagen,Touareg,2021,126450,2024-08-20,12,Manual
37,BMW,530i,2021,113075,2024-08-31,3,Automático
38,Nissan,Frontier,2012,86818,2024-07-08,3,Automático
39,Jeep,Grand Cherokee,2013,299117,2024-09-03,27,Manual
40,Volkswagen,Virtus,2008,279233,2024-08-14,9,Automático
41,Renault,Zoe,2011,241886,2024-09-08,20,Manual
42,Ford,EcoSport,2021,38115,2024-08-02,3,Manual
43,Volkswagen,Gol,2021,22017,2024-04-25,1,Manual
44,Honda,HR-V,2023,188107,2024-08-16,7,Automático
45,Honda,Odyssey,2013,289360,2024-09-07,9,Automático
46,Ford,Edge,2020,220851,2024-09-05,7,Automático
47,Subaru,Impreza,2023,269240,2024-08-12,10,Automático
48,Kia,Optima,2015,253423,2024-08-28,22,Manual
49,Kia,Sportage,2013,232892,2024-09-08,18,Manual
50,Volkswagen,Arteon,2010,172539,2024-08-31,12,Manual
51,Mitsubishi,Montero,2010,220575,2024-08-09,8,Automático
52,Jeep,Grand Cherokee,2020,93956,2024-06-27,3,Automático
53,Chevrolet,Tracker,2023,270846,2024-08-31,10,Automático
54,Fiat,Bravo,2022,259491,2024-09-01,10,Automático
55,Peugeot,3008,2020,298744,2024-08-24,21,Manual
56,Jeep,Patriot,2009,163875,2024-09-06,16,Manual
57,Fiat,Bravo,2008,219417,2024-08-22,19,Manual
58,Fiat,Toro,2012,241932,2024-09-08,23,Manual
59,Chevrolet,Trailblazer,2019,70209,2024-08-13,5,Manual
60,Subaru,Outback,2007,117047,2024-09-02,4,Automático
61,Mercedes-Benz,G-Class,2019,11996,2024-05-24,1,Automático
62,Nissan,Kicks,2013,194522,2024-08-19,13,Manual
63,Fiat,Fiorino,2013,230663,2024-08-10,8,Automático
64,Honda,Odyssey,2022,92981,2024-08-16,9,Manual
65,Mercedes-Benz,GLE,2009,142521,2024-08-16,14,Manual
66,Ford,Explorer,2018,30057,2024-08-07,3,Manual
67,Hyundai,Veloster,2020,14566,2024-03-13,1,Automático
68,Renault,Kwid,2015,269520,2024-08-13,10,Automático
69,Mercedes-Benz,GLC,2014,219869,2024-08-08,7,Automático
70,Ford,F-150,2016,38186,2024-07-10,3,Manual
71,Mercedes-Benz,S-Class,2012,147264,2024-08-27,11,Manual
72,Ford,Kuga,2016,124081,2024-07-02,4,Automático
73,Hyundai,Kona,2014,119264,2024-08-13,4,Automático
74,Renault,Zoe,2020,77627,2024-08-08,6,Manual
75,Jeep,Compass,2018,27775,2024-06-29,2,Manual
76,Peugeot,3008,2007,175135,2024-08-10,11,Manual
77,Toyota,Hilux,2014,38738,2024-06-02,2,Manual
78,Subaru,Legacy,2018,286451,2024-08-29,21,Manual
79,Jeep,Commander,2021,257634,2024-09-05,21,Manual
80,Volkswagen,Gol,2011,249489,2024-08-22,8,Automático
81,Mercedes-Benz,G-Class,2012,257337,2024-08-21,17,Manual
82,Toyota,Camry,2014,98467,2024-07-28,3,Automático
83,Hyundai,i30,2015,23503,2024-07-30,2,Manual
84,Chevrolet,Tracker,2017,161792,2024-07-22,6,Automático
85,Ford,F-150,2007,34599,2024-06-28,2,Manual
86,Honda,HR-V,2008,42346,2024-08-28,4,Manual
87,Renault,Kangoo,2020,85504,2024-08-18,3,Automático
88,Fiat,Bravo,2011,201679,2024-08-08,6,Automático
89,Mercedes-Benz,GLC,2014,211836,2024-08-21,7,Automático
90,Chevrolet,Camaro,2009,66430,2024-07-17,2,Automático
91,Honda,Accord,2009,5295,2024-08-04,1,Automático
92,Honda,Accord,2014,227817,2024-08-10,8,Automático
93,Fiat,Fiorino,2021,67330,2024-06-05,2,Automático
94,Jeep,Patriot,2023,277571,2024-08-29,20,Manual
95,Subaru,Crosstrek,2007,148485,2024-07-21,5,Automático
96,Hyundai,Santa Fe,2023,64342,2024-08-25,2,Automático
97,Ford,Fusion,2018,15433,2024-06-06,2,Manual
98,Ford,Fusion,2021,224574,2024-08-16,8,Automático
99,Toyota,Yaris,2019,146842,2024-08-04,5,Automático
100,Chevrolet,Camaro,2016,134477,2024-08-25,11,Manual
101,Mitsubishi,Eclipse Cross,2011,238129,2024-08-26,9,Automático
102,BMW,X3,2020,212413,2024-09-01,14,Manual
103,BMW,320i,2014,65993,2024-08-30,6,Manual
104,Jeep,Cherokee Trailhawk,2013,151126,2024-08-21,13,Manual
105,Mitsubishi,Eclipse Cross,2018,287979,2024-08-25,11,Automático
106,Jeep,Renegade,2023,109990,2024-08-22,9,Manual
107,Volkswagen,Amarok,2022,151447,2024-08-23,10,Manual
108,Nissan,March,2009,117660,2024-07-24,3,Automático
109,Honda,Pilot,2016,207408,2024-08-20,14,Manual
110,Kia,Optima,2016,154331,2024-07-28,6,Automático
111,Toyota,Hilux,2017,99539,2024-08-20,3,Automático
112,Nissan,370Z,2011,208978,2024-09-06,8,Automático
113,Mercedes-Benz,G-Class,2020,32843,2024-07-07,2,Manual
114,BMW,X1,2011,53774,2024-07-12,2,Automático
115,Mitsubishi,Eclipse Cross,2010,202284,2024-09-05,7,Automático
116,Volkswagen,Touareg,2017,111853,2024-06-28,3,Automático
117,Jeep,Renegade,2012,273265,2024-08-10,10,Automático
118,Peugeot,Boxer,2021,197845,2024-08-30,7,Automático
119,Subaru,BRZ,2014,66287,2024-07-28,4,Manual
120,Honda,HR-V,2009,15433,2024-06-29,1,Automático
121,Subaru,XV,2016,117830,2024-07-22,4,Automático
122,Mitsubishi,Galant,2014,50552,2024-03-14,1,Automático
123,Kia,Soul,2018,120547,2024-08-30,4,Automático
124,Subaru,Ascent,2023,91495,2024-07-23,3,Automático
125,Jeep,Patriot,2017,37550,2024-08-08,2,Manual
126,Toyota,Corolla,2017,268103,2024-09-08,26,Manual
127,Toyota,Fortuner,2022,76440,2024-09-03,2,Automático
128,Fiat,Toro,2020,268191,2024-09-07,20,Manual
129,Volkswagen,Amarok,2010,227779,2024-09-01,18,Manual
130,Subaru,BRZ,2017,243649,2024-08-27,21,Manual
131,Kia,Sportage,2017,20907,2024-09-05,1,Automático
132,Peugeot,301,2022,16490,2024-07-23,1,Automático
133,Nissan,370Z,2010,197554,2024-08-26,7,Automático
