Problemas,Frases
Bateria,O carro está difícil de ligar de manhã.
Bateria,A luz da bateria no painel está acesa.
Bateria,O carro dá um clique quando tento dar partida.
Bateria,A bateria parece não estar segurando carga.
Bateria,"O motor está tentando ligar, mas não consegue."
Bateria,Preciso fazer uma chupeta toda vez que ligo o carro.
Bateria,O carro está com dificuldades para ligar após ficar parado por muito tempo.
Bateria,As luzes internas estão piscando e fracas.
Bateria,"O carro não liga de jeito nenhum, acho que é a bateria."
Bateria,O carro demora para ligar e a luz do painel está piscando.
Bateria,"Quando tento ligar o carro, ele só faz um barulho de clique."
Bateria,A bateria está com dificuldade para fornecer energia.
Bateria,"O carro fica tentando ligar, mas não pega."
Bateria,As luzes do painel estão fracas e o carro não está ligando.
Bateria,"O motor dá sinal de que está tentando ligar, mas não consegue."
Bateria,O carro não está pegando e a luz da bateria está acesa.
Bateria,"A bateria parece estar fraca, o carro não está respondendo."
Bateria,O carro não está ligando e as luzes internas estão fracas.
Bateria,O carro faz um barulho estranho quando tento dar partida.
Bateria,A luz da bateria no painel está piscando e o carro está com dificuldade para ligar.
Bateria,"O carro dá um clique e não liga, pode ser a bateria."
Bateria,"A bateria parece estar carregando, mas o carro ainda não liga."
Bateria,O carro está com dificuldades para ligar e a luz da bateria está acesa.
Bateria,"O motor está tentando ligar, mas não está pegando de jeito nenhum."
Bateria,"Quando ligo o carro, ele dá apenas um clique e não liga."
Bateria,O carro está com dificuldades para dar partida e a bateria está fraca.
Bateria,A luz da bateria está piscando e o carro não está ligando.
Bateria,O carro não está pegando e o painel está com luzes fracas.
Bateria,"Quando tento ligar o carro, só escuto um clique e não liga."
Bateria,O carro não está pegando e a luz da bateria está acesa.
Bateria,"A bateria parece estar esgotada, o carro não está ligando."
Bateria,"O carro está tentando ligar, mas não consegue, a bateria pode estar ruim."
Bateria,O carro demora para ligar e a luz da bateria no painel está acesa.
Bateria,O carro não está ligando e o painel está com luzes fracas.
Bateria,A bateria não está fornecendo energia suficiente para o carro ligar.
Bateria,"O carro dá um clique e não liga, a bateria deve estar fraca."
Bateria,A luz da bateria no painel está piscando e o carro está com dificuldade para ligar.
Bateria,"O motor está tentando ligar, mas a bateria parece estar fraca."
Bateria,O carro não está pegando e a bateria pode estar descarregada.
Bateria,"Quando tento ligar o carro, ele só faz um barulho de clique."
Bateria,A bateria está fraca e o carro não está respondendo.
Bateria,O carro não liga e a luz da bateria está piscando.
Bateria,"A bateria parece não estar segurando carga, o carro está com dificuldade para ligar."
Bateria,O carro está com dificuldade para ligar e a luz da bateria está acesa.
Bateria,A bateria não está fornecendo energia suficiente e o carro não liga.
Bateria,"O carro faz um barulho de clique e não liga, pode ser a bateria."
Bateria,O carro não está pegando e o painel está com luzes fracas.
Bateria,A bateria está fraca e o carro está com dificuldades para ligar.
Bateria,O carro não liga e a luz da bateria no painel está acesa.
Bateria,"Quando tento ligar o carro, ele só faz um clique e não pega."
Filtro de Ar Sujo,"Acho que o filtro de ar tá sujo, o carro tá estranho."
Filtro de Ar Sujo,"O carro tá consumindo mais combustível, será o filtro de ar?"
Filtro de Ar Sujo,"O motor tá meio fraco, pode ser o filtro de ar sujo?"
Filtro de Ar Sujo,"O carro tá perdendo potência, será que o filtro de ar precisa ser trocado?"
Filtro de Ar Sujo,"Toda vez que acelero, o carro não responde bem, será o filtro de ar?"
Filtro de Ar Sujo,"O filtro de ar deve estar cheio de sujeira, o motor tá estranho."
Filtro de Ar Sujo,"Sinto cheiro de poeira no carro, acho que o filtro de ar tá sujo."
Filtro de Ar Sujo,Acho que o carro tá engasgando porque o filtro de ar tá sujo.
Filtro de Ar Sujo,"O carro tá falhando, pode ser o filtro de ar entupido?"
Filtro de Ar Sujo,"Quando ligo o ar-condicionado, o carro fica mais fraco, será o filtro de ar?"
Filtro de Ar Sujo,"Faz tempo que não troco o filtro de ar, acho que tá sujo."
Filtro de Ar Sujo,"Meu carro tá com o consumo muito alto, será o filtro de ar sujo?"
Filtro de Ar Sujo,"O motor tá mais barulhento, será que é o filtro de ar?"
Filtro de Ar Sujo,"O carro demora pra acelerar, pode ser o filtro de ar sujo?"
Filtro de Ar Sujo,Acho que o filtro de ar não tá deixando o ar passar direito.
Filtro de Ar Sujo,"O carro tá engasgando quando eu acelero, será o filtro de ar sujo?"
Filtro de Ar Sujo,"Sinto cheiro ruim quando ligo o ar, será que é o filtro de ar?"
Filtro de Ar Sujo,"O carro não tá desenvolvendo bem, será o filtro de ar sujo?"
Filtro de Ar Sujo,"Tenho que acelerar mais pra manter a velocidade, será o filtro de ar?"
Filtro de Ar Sujo,"Acho que o filtro de ar tá entupido, o carro tá muito fraco."
Filtro de Ar Sujo,"Toda vez que piso no acelerador, o carro não vai, pode ser o filtro de ar?"
Filtro de Ar Sujo,"O motor tá esquentando mais rápido, será que é o filtro de ar sujo?"
Filtro de Ar Sujo,"O carro tá fazendo um barulho estranho, pode ser o filtro de ar?"
Filtro de Ar Sujo,"Acho que o filtro de ar tá bloqueando o ar, o carro não acelera direito."
Filtro de Ar Sujo,"Meu carro não tá rendendo como antes, será o filtro de ar sujo?"
Filtro de Ar Sujo,"Toda vez que dou partida, o carro demora pra responder, pode ser o filtro de ar?"
Filtro de Ar Sujo,"A rotação do motor tá oscilando, pode ser o filtro de ar sujo?"
Filtro de Ar Sujo,"O motor tá tremendo muito, será o filtro de ar entupido?"
Filtro de Ar Sujo,"Toda vez que acelero, o carro dá umas engasgadas, será o filtro de ar sujo?"
Filtro de Ar Sujo,"A luz do motor acendeu, será que é o filtro de ar sujo?"
Filtro de Ar Sujo,"O carro tá fazendo mais fumaça, será o filtro de ar sujo?"
Filtro de Ar Sujo,"Sinto que o carro tá sem força, pode ser o filtro de ar?"
Filtro de Ar Sujo,"Faz tempo que não troco o filtro de ar, acho que tá na hora."
Filtro de Ar Sujo,"O carro não tá desenvolvendo bem em alta rotação, pode ser o filtro de ar sujo?"
Filtro de Ar Sujo,"Acho que o filtro de ar tá bloqueando a entrada de ar, o carro não rende."
Filtro de Ar Sujo,"O motor tá ficando muito quente, será que é o filtro de ar?"
Filtro de Ar Sujo,"O carro tá meio sufocado, acho que o filtro de ar tá entupido."
Filtro de Ar Sujo,"Sinto cheiro de queimado quando ligo o motor, será o filtro de ar sujo?"
Filtro de Ar Sujo,"Toda vez que acelero rápido, o carro demora pra responder, pode ser o filtro de ar?"
Filtro de Ar Sujo,"O motor tá oscilando muito, pode ser o filtro de ar sujo?"
Filtro de Ar Sujo,"Quando piso no acelerador, o carro não vai como deveria, será o filtro de ar?"
Filtro de Ar Sujo,Acho que o carro tá sufocando por causa do filtro de ar sujo.
Filtro de Ar Sujo,"Meu carro tá fazendo um barulho estranho no motor, será o filtro de ar?"
Filtro de Ar Sujo,"O carro não tá rendendo nada em subidas, será o filtro de ar sujo?"
Filtro de Ar Sujo,"Sinto cheiro de sujeira quando ligo o motor, pode ser o filtro de ar?"
Filtro de Ar Sujo,"O carro tá meio engasgado, acho que o filtro de ar tá entupido."
Filtro de Ar Sujo,"Acho que o filtro de ar tá comprometido, o motor não responde bem."
Filtro de Ar Sujo,"Toda vez que acelero forte, o carro parece que falta ar, será o filtro de ar sujo?"
Filtro de Ar Sujo,"O carro tá consumindo mais combustível que o normal, será o filtro de ar?"
Filtro de Ar Sujo,"O motor tá mais barulhento que o normal, pode ser o filtro de ar sujo?"
Vela de Ignição,O carro está engasgando quando tento acelerar.
Vela de Ignição,"Parece que o motor está falhando, acho que a vela está ruim."
Vela de Ignição,Tenho que tentar várias vezes para dar partida.
Vela de Ignição,O carro está muito devagar nas subidas.
Vela de Ignição,"A marcha está estranha, o carro não desenvolve bem."
Vela de Ignição,O carro não está pegando direito.
Vela de Ignição,O consumo de combustível está maior do que o normal.
Vela de Ignição,O carro está vibrando muito quando paro no semáforo.
Vela de Ignição,Tem um cheiro estranho de combustível mal queimado.
Vela de Ignição,"Preciso substituir as velas de ignição, o carro está falhando."
Vela de Ignição,O motor está fazendo um barulho estranho quando ligo o carro.
Vela de Ignição,O carro está com dificuldade para dar partida de manhã.
Vela de Ignição,Parece que o motor está desregulado e o carro não anda bem.
Vela de Ignição,"A aceleração do carro está lenta, pode ser problema na vela."
Vela de Ignição,"O carro está falhando ao acelerar, pode ser a vela de ignição."
Vela de Ignição,A luz do painel está piscando e o carro está engasgando.
Vela de Ignição,O carro não responde bem quando piso no acelerador.
Vela de Ignição,"Sinto uma perda de potência, talvez a vela de ignição esteja ruim."
Vela de Ignição,O motor está esquentando mais do que o normal e o carro está fraco.
Vela de Ignição,O carro está dando partida difícil e o motor está irregular.
Vela de Ignição,"Parece que o carro está com problema na ignição, está funcionando mal."
Vela de Ignição,O motor está falhando e o carro não está rodando bem.
Vela de Ignição,O carro está ruidoso e não acelera direito.
Vela de Ignição,O motor está falhando e o carro está com desempenho ruim.
Vela de Ignição,"O carro está vibrando ao dar partida, deve ser a vela de ignição."
Vela de Ignição,O carro está com dificuldades para manter a marcha lenta.
Vela de Ignição,"Parece que o carro está com problema na ignição, não está pegando bem."
Vela de Ignição,O carro está engasgando e tem um cheiro de combustível queimado.
Vela de Ignição,O motor está desregulado e o carro está difícil de dirigir.
Vela de Ignição,A aceleração está irregular e o carro está falhando.
Vela de Ignição,O carro está com dificuldades para ligar e o motor está instável.
Vela de Ignição,O carro está sem potência e o motor está engasgando.
Vela de Ignição,O carro está ruidoso e não está funcionando bem.
Vela de Ignição,O motor está apresentando falhas e o carro está muito devagar.
Vela de Ignição,O carro está dando partida difícil e o motor está falhando.
Vela de Ignição,O carro está vibrando e a aceleração está lenta.
Vela de Ignição,"O motor não está funcionando de forma suave, pode ser a vela."
Vela de Ignição,O carro está com dificuldades para acelerar e o motor está esquentando.
Vela de Ignição,O carro está engasgando e a partida está difícil.
Vela de Ignição,"A vela de ignição pode estar ruim, o motor está funcionando mal."
Vela de Ignição,O carro está com problema na partida e o motor não está estável.
Vela de Ignição,O carro está com um desempenho ruim e o motor está falhando.
Vela de Ignição,O carro está vibrando e não está acelerando direito.
Vela de Ignição,"A vela de ignição pode estar causando o problema, o motor está irregular."
Vela de Ignição,O carro está com dificuldades para acelerar e o motor está ruidoso.
Vela de Ignição,O motor está com falhas e o carro está com baixa potência.
Vela de Ignição,O carro está engasgando e o motor está esquentando mais do que o normal.
Pneu descalibrado,Acho que o pneu tá meio murcho.
Pneu descalibrado,Parece que o pneu tá com menos ar.
Pneu descalibrado,"Meu carro tá puxando pro lado, acho que o pneu tá descalibrado."
Pneu descalibrado,"Sinto o carro pesado, o pneu deve estar sem pressão."
Pneu descalibrado,A luz da pressão dos pneus acendeu no painel.
Pneu descalibrado,"O pneu tá mais baixo do que o normal, preciso calibrar."
Pneu descalibrado,"Toda semana preciso colocar ar no pneu, isso é normal?"
Pneu descalibrado,"O pneu parece vazio, será que perdi ar?"
Pneu descalibrado,Passei no posto e falaram que o pneu tava com pouco ar.
Pneu descalibrado,O pneu da frente tá mais murcho que o de trás.
Pneu descalibrado,Parece que o pneu tá meio mole.
Pneu descalibrado,"Meu carro tá balançando muito, será que é o pneu descalibrado?"
Pneu descalibrado,"Calibrei o pneu semana passada, mas parece que já tá murcho de novo."
Pneu descalibrado,"Quando faço curva, o carro tá meio estranho, o pneu deve estar sem ar."
Pneu descalibrado,"O carro parece mais lento, acho que o pneu tá descalibrado."
Pneu descalibrado,Tem como saber se o pneu tá descalibrado só olhando?
Pneu descalibrado,"Toda vez que calibro o pneu, ele esvazia rápido."
Pneu descalibrado,"O pneu tá com ar, mas sinto que não tá rodando direito."
Pneu descalibrado,"Parece que o carro tá mais baixo, deve ser o pneu."
Pneu descalibrado,Acho que o pneu tá descalibrado porque o carro tá mais duro de dirigir.
Pneu descalibrado,"Sinto o carro tremer um pouco, o pneu deve estar com menos ar."
Pneu descalibrado,Faz barulho diferente quando o pneu tá sem ar?
Pneu descalibrado,"O pneu da frente tá diferente do de trás, será que tá sem ar?"
Pneu descalibrado,"O volante tá puxando pro lado, acho que o pneu tá descalibrado."
Pneu descalibrado,"Toda vez que passo numa lombada, sinto o pneu mais mole."
Pneu descalibrado,"O carro tá com menos estabilidade, pode ser o pneu descalibrado?"
Pneu descalibrado,"A pressão dos pneus baixou sozinha, isso é normal?"
Pneu descalibrado,Calibrei os pneus ontem e já parece que tá baixo de novo.
Pneu descalibrado,O carro tá fazendo um barulho de pneu vazio.
Pneu descalibrado,Acho que o pneu perdeu pressão depois da viagem.
Pneu descalibrado,"Os pneus não estão firmes no chão, será falta de calibragem?"
Pneu descalibrado,O painel mostrou que a pressão do pneu tá baixa.
Pneu descalibrado,"Sinto o carro meio estranho, será que tá com ar demais ou de menos?"
Pneu descalibrado,"O carro parece mais pesado, deve ser o pneu descalibrado."
Pneu descalibrado,"Meu pneu descalibra muito rápido, o que será?"
Pneu descalibrado,"Quando freio, sinto o carro deslizar, o pneu deve estar sem ar."
Pneu descalibrado,Passei num buraco e agora o pneu tá estranho.
Pneu descalibrado,Acho que o pneu esvaziou um pouco enquanto tava estacionado.
Pneu descalibrado,"Toda vez que viajo, o pneu descalibra."
Pneu descalibrado,"Calibrei o pneu ontem, mas parece que já tá murcho."
Pneu descalibrado,"O volante tá vibrando, será o pneu sem calibragem?"
Pneu descalibrado,"O carro tá andando meio torto, deve ser o pneu."
Pneu descalibrado,"Toda vez que freio, parece que o pneu tá sem pressão."
Pneu descalibrado,"Preciso calibrar o pneu toda semana, será que tem algo errado?"
Pneu descalibrado,"Sinto o carro mais baixo de um lado, será que é o pneu descalibrado?"
Pneu descalibrado,"Toda vez que viro o volante, parece que o pneu tá sem ar."
Pneu descalibrado,"O carro tá quicando muito, acho que o pneu perdeu ar."
Pneu descalibrado,O painel do carro tá indicando pneu com pressão baixa.
Pneu descalibrado,Parece que o pneu tá escapando ar quando dirijo.
Pneu descalibrado,"Depois que calibraram o pneu, o carro ficou mais leve."
Alternador com defeito,A luz da bateria está sempre acesa no painel.
Alternador com defeito,"O carro está com dificuldade para ligar, parece que a bateria está fraca."
Alternador com defeito,Os faróis estão piscando e não estão brilhando como antes.
Alternador com defeito,Sinto que os acessórios elétricos não estão funcionando bem.
Alternador com defeito,O carro faz um barulho estranho quando ligo.
Alternador com defeito,A bateria está morrendo mesmo depois de dirigir por um tempo.
Alternador com defeito,O carro está com dificuldades para carregar a bateria.
Alternador com defeito,Os instrumentos no painel estão falhando e não estão respondendo.
Alternador com defeito,O carro está demorando para ligar e a luz da bateria fica piscando.
Alternador com defeito,A luz interna do carro está piscando intermitentemente.
Alternador com defeito,Sinto que o carro está perdendo potência elétrica.
Alternador com defeito,O carro morreu no meio do trânsito e não quer ligar de novo.
Alternador com defeito,Os faróis estão fracos e o carro parece sem energia.
Alternador com defeito,Parece que a bateria não está sendo carregada corretamente.
Alternador com defeito,O carro está fazendo um barulho estranho quando ligo e o painel pisca.
Alternador com defeito,Os sistemas elétricos do carro estão falhando aleatoriamente.
Alternador com defeito,"Quando o carro está parado, os acessórios elétricos não funcionam bem."
Alternador com defeito,"A luz de aviso da bateria não apaga, mesmo depois de dirigir."
Alternador com defeito,O carro está com dificuldade para manter a bateria carregada.
Alternador com defeito,Os faróis estão ficando fracos e o carro está fazendo um som estranho.
Alternador com defeito,O carro não liga de primeira e a luz da bateria está piscando.
Alternador com defeito,"A bateria não parece estar carregando, mesmo depois de andar bastante."
Alternador com defeito,O painel de instrumentos está piscando e os faróis estão fracos.
Alternador com defeito,Sinto que a eletricidade do carro está instável e a luz da bateria fica acesa.
Alternador com defeito,Os componentes elétricos do carro estão falhando com frequência.
Alternador com defeito,O carro está fazendo um barulho irregular quando ligo a chave.
Alternador com defeito,"Os acessórios do carro, como rádio e ar condicionado, estão funcionando mal."
Alternador com defeito,"A bateria descarrega rapidamente, mesmo depois de dirigir por um tempo."
Alternador com defeito,A luz do painel que indica problemas na bateria está sempre acesa.
Alternador com defeito,O carro está com dificuldades para fornecer energia para todos os acessórios.
Alternador com defeito,A luz de aviso da bateria pisca quando o carro está ligado.
Alternador com defeito,"Sinto que o carro está com pouca potência elétrica, os faróis estão fracos."
Alternador com defeito,O carro não está ligando corretamente e a luz da bateria não apaga.
Alternador com defeito,Os faróis do carro estão intermitentes e a bateria parece estar fraca.
Alternador com defeito,O carro está fazendo um barulho estranho e a luz da bateria está acesa.
Alternador com defeito,Os sistemas elétricos estão falhando e a luz da bateria está piscando.
Alternador com defeito,A bateria do carro parece não estar sendo carregada mesmo depois de dirigir.
Alternador com defeito,Sinto um barulho estranho quando o carro está em funcionamento.
Alternador com defeito,O carro está com dificuldades para fornecer energia para os componentes.
Alternador com defeito,A luz da bateria fica acesa e os faróis estão fracos.
Alternador com defeito,O carro está desligando quando paro no semáforo e a luz da bateria não apaga.
Alternador com defeito,Os acessórios do carro estão com problemas e a bateria não está carregando bem.
Alternador com defeito,O carro está com um desempenho elétrico irregular e a luz da bateria está acesa.
Alternador com defeito,Os faróis estão piscando e a luz da bateria não apaga.
Alternador com defeito,A bateria parece não estar sendo carregada adequadamente e o carro está fazendo um barulho.
Alternador com defeito,O carro está com problemas elétricos e a luz da bateria está sempre acesa.
