Problema,Palavra,Probabilidade
Bateria,bateria,0.18
Bateria,ligar,0.10
Bateria,luz,0.07
Bateria ,painel,0.05
Bateria,clique,0.04
Bateria,acesa,0.03
Filtro de Ar Sujo,filtro,0.11
Filtro de Ar Sujo,motor,0.09
Filtro de Ar Sujo,ar,0.08
Filtro de Ar Sujo,sujo,0.05
Filtro de Ar Sujo,cheiro,0.05
Filtro de Ar Sujo,consumo,0.04
Vela de Ignição,motor,0.12
Vela de Ignição,ignição,0.06
Vela de Ignição,engasgando,0.06
Vela de Ignição,falhando,0.05
Vela de Ignição,partida,0.04
Vela de Ignição,vela,0.04
Pneu descalibrado,pneu,0.13
Pneu descalibrado,sinto,0.06
Pneu descalibrado,volante,0.05
Pneu descalibrado,puxando,0.05
Pneu descalibrado,lado,0.04
Pneu descalibrado,direção,0.04
Alternador com defeito,bateria,0.12
Alternador com defeito,luz,0.09
Alternador com defeito,faróis,0.05
Alternador com defeito,painel,0.03
Alternador com defeito,piscando,0.03
Alternador com defeito,acesa,0.03
Falta de óleo no motor,óleo,0.19
Falta de óleo no motor,luz,0.15
Falta de óleo no motor,motor,0.13
Falta de óleo no motor,barulho,0.07
Falta de óleo no motor,estranho,0.03
Falta de óleo no motor,cheiro,0.03
Radiador com vazamento,líquido,0.10
Radiador com vazamento,vazando,0.09
Radiador com vazamento,superaquecendo,0.07
Radiador com vazamento,radiador,0.07
Radiador com vazamento,esquentando,0.05
Radiador com vazamento,motor,0.05
Correia dentada desgastada,motor,0.10
Correia dentada desgastada,barulho,0.08
Correia dentada desgastada,estranho,0.05
Correia dentada desgastada,fazendo,0.05
Correia dentada desgastada,som,0.04
Correia dentada desgastada,acelerar,0.04
Transmissão,marcha,0.14
Transmissão,trocar,0.10
Transmissão,transmissão,0.10
Transmissão,barulho,0.06
Transmissão,patinando,0.04
Transmissão,fazendo,0.03
Falha na Bomba de Combustível,combustível,0.20
Falha na Bomba de Combustível,bomba,0.17
Falha na Bomba de Combustível,falhando,0.07
Falha na Bomba de Combustível,morrendo,0.07
